fault_source_id|fault_summary_id|aseismic_slip_factor|compiler_id|completion_id|contributor_id|dip|dip_dir|last_movement|length|lower_sm_depth|magnitude|name|recurrence_interval|slip_rate|slip_type_id|upper_sm_depth|created_date|modified_date|tectonic_region|area|width|geom|compiler_name|contributor_name|pref_magnitude|pref_dip|pref_slip_rate|pref_length|pref_width|pref_area|pref_lsd|pref_usd|pref_recint|slip_type
4140||0.00|576||585|(0,0,85)|360||(,,29)|(,,10)|(,,7.1)|Greendale|(,,16000)|(,,7.1)|205|(,,0)|2011-08-29|2011-08-29||(,,)|(,,)||Nicola Litchfield|Mark Stirling|7.1|85|7.1|29|||10|0|16000|Dextral
4432||0.00|576||585|(40,60,50)|340||(28.8,35.2,32)|(10,14,12)|(,,6.98348482408928)|Springfield|(,,4457)|(0.25,1,6.98348482408928)|202|(,,0)|2011-08-29|2011-08-29||(332.553755053225,766.660701876811,501.276399103595)|(11.5470053837925,21.7801335760458,15.6648874719873)||Nicola Litchfield|Mark Stirling|6.98348482408928|50|6.98348482408928|32|15.6648874719873|501.276399103595|12|0|4457|Reverse
4038||0.00|576||585|(30,60,45)|280||(39.6,48.4,44)|(10,14,12)|(,,7.19106773123466)|Ahuriri River|(,,6129)|(0.1,1,7.19106773123466)|202|(,,0)|2011-08-29|2011-08-29||(457.261413198184,1355.2,746.704760932994)|(11.5470053837925,28,16.9705627484771)|POLYGON((169.43988204 -44.06701599,169.70000004 -44.07000003,169.623333 -44.21333304,169.61333292 -44.298333,169.69166712 -44.44499997,169.42988484 -44.44201602,169.35220584 -44.29534896,169.36258284 -44.210349,169.43988204 -44.06701599))|Nicola Litchfield|Mark Stirling|7.19106773123466|45|7.19106773123466|44|16.9705627484771|746.704760932994|12|0|6129|Reverse
4039||0.00|576||585|(65,85,75)|145||(61.2,74.8,68)|(18,22,20)|(,,7.50073602864917)|Akatarawa - Otaki Forks|(,,6765)|(0.4,1,7.50073602864917)|212|(,,0)|2011-08-29|2011-08-29||(1105.80793303775,1815.71870344468,1407.97560535771)|(18.0687570757803,24.2743142171748,20.7055236082017)|POLYGON((175.527468 -40.73960304,175.42428192 -40.84793604,175.31606412 -40.93126902,175.24120212 -41.03126901,175.18963896 -41.10626898,175.133061 -41.16960297,175.04166708 -41.12166699,175.09833288 -41.058333,175.15000008 -40.98333303,175.22499996 -40.88333304,175.33333296 -40.79999997,175.436667 -40.69166697,175.527468 -40.73960304))|Nicola Litchfield|Mark Stirling|7.50073602864917|75|7.50073602864917|68|20.7055236082017|1407.97560535771|20|0|6765|Dextral-reverse
4040||0.00|576||585|(35,55,45)|120||(58.5,71.5,65)|(10,14,12)|(,,7.41701530477688)|Akatore|(,,3482)|(0.7,2.2,7.41701530477688)|202|(,,0)|2011-08-29|2011-08-29||(714.153134425452,1745.19024241672,1103.08657865101)|(12.2077458876146,24.4082551386954,16.9705627484771)|POLYGON((170.55841104 -46.02001203,170.48521296 -46.05834501,170.37725688 -46.16501202,170.37397116 -46.17834498,170.29919016 -46.24001199,170.25766092 -46.27834497,170.23101804 -46.28501199,170.22276792 -46.30834503,170.16463692 -46.365012,170.15986512 -46.428345,170.19176688 -46.49334498,169.99499988 -46.42000002,169.96333284 -46.35500004,169.96833288 -46.29166704,170.02666692 -46.23499998,170.03499984 -46.21166703,170.06166684 -46.20500001,170.10333288 -46.16666703,170.17833312 -46.10500002,170.18166708 -46.09166697,170.29000008 -45.98499996,170.36333316 -45.94666698,170.55841104 -46.02001203))|Nicola Litchfield|Mark Stirling|7.41701530477688|45|7.41701530477688|65|16.9705627484771|1103.08657865101|12|0|3482|Reverse
4041||0.00|576||585|(50,70,60)|245||(18,22,20)|(10,14,12)|(,,6.67580707045316)|Albury|(,,10714)|(0.021,0.37,6.67580707045316)|202|(,,0)|2011-08-29|2011-08-29||(191.551999045664,402.065445114342,277.12812921102)|(10.6417777247591,18.2757020506519,13.856406460551)|POLYGON((170.69154588 -44.23288401,170.596872 -44.06788404,170.71333308 -44.03333304,170.80833312 -44.19833301,170.69154588 -44.23288401))|Nicola Litchfield|Mark Stirling|6.67580707045316|60|6.67580707045316|20|13.856406460551|277.12812921102|12|0|10714|Reverse
4042||0.00|576||585|(40,60,50)|290||(9.71898539068,10.690883929748,9.71898539068)|(10,14,12)|(,,6.11353583597708)|Alderman East 01|(,,1826)|(0.1493494873786,0.248915812297666,6.11353583597708)|204|(,,0)|2011-08-29|2011-08-29||(112.225176631183,232.848880035913,152.246812486891)|(11.5470053837925,21.7801335760458,15.6648874719873)|POLYGON((176.29278984 -36.94690602,176.44833288 -36.98000001,176.42000016 -37.06499997,176.26428288 -37.03190598,176.29278984 -36.94690602))|Nicola Litchfield|Mark Stirling|6.11353583597708|50|6.11353583597708|9.71898539068|15.6648874719873|152.246812486891|12|0|1826|Normal
4043||0.00|576||585|(40,60,50)|315||(9.34212659334,17.58415800548,15.9855981868)|(10,14,12)|(,,6.40095942684755)|Alderman East 02|(,,2996)|(0.1493494873786,0.248915812297666,6.40095942684755)|204|(,,0)|2011-08-29|2011-08-29||(107.873586069368,382.985310181649,250.412596768627)|(11.5470053837925,21.7801335760458,15.6648874719873)|POLYGON((176.33173608 -36.87231798,176.45666688 -36.95333301,176.34333312 -37.06499997,176.21821908 -36.98398503,176.33173608 -36.87231798))|Nicola Litchfield|Mark Stirling|6.40095942684755|50|6.40095942684755|15.9855981868|15.6648874719873|250.412596768627|12|0|2996|Normal
4044||0.00|576||585|(40,60,50)|300||(9.1000424509,15.14119881769,13.7647261979)|(10,14,12)|(,,6.31456087742794)|Alderman East 03|(,,1475)|(0.261361602912549,0.435602671520915,6.31456087742794)|204|(,,0)|2011-08-29|2011-08-29||(105.078239173283,329.777332750755,215.62288697282)|(11.5470053837925,21.7801335760458,15.6648874719873)|POLYGON((176.38458984 -36.88936596,176.53333284 -36.93833298,176.47666704 -37.04833296,176.32770912 -36.99936603,176.38458984 -36.88936596))|Nicola Litchfield|Mark Stirling|6.31456087742794|50|6.31456087742794|13.7647261979|15.6648874719873|215.62288697282|12|0|1475|Normal
4045||0.00|576||585|(40,60,50)|305||(15.4861795117,17.03479746287,15.4861795117)|(10,14,12)|(,,6.38262590461411)|Alderman East 04|(,,1659)|(0.261361602912549,0.435602671520915,6.38262590461411)|204|(,,0)|2011-08-29|2011-08-29||(178.818998195977,371.020164182194,242.589259421776)|(11.5470053837925,21.7801335760458,15.6648874719873)|POLYGON((176.49052704 -36.78442596,176.63333292 -36.84333303,176.55500016 -36.96499998,176.41196604 -36.906093,176.49052704 -36.78442596))|Nicola Litchfield|Mark Stirling|6.38262590461411|50|6.38262590461411|15.4861795117|15.6648874719873|242.589259421776|12|0|1659|Normal
